Title,Rating,Votes,Duration,Genre
1. The Wild Robot,8.2, (182K),1h 42m,Animation
2. Flow,7.9, (84K),1h 25m,Animation
3. Moana 2,6.5, (109K),1h 40m,Animation
4. Mufasa: The Lion King,6.6, (71K),1h 58m,Animation
5. Paddington in Peru,6.7, (26K),1h 46m,Animation
6. Inside Out 2,7.5, (223K),1h 36m,Animation
7. Transformers One,7.6, (54K),1h 44m,Animation
8. Despicable Me 4,6.2, (68K),1h 34m,Animation
9. IF,6.4, (60K),1h 44m,Animation
10. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (5.5K),1h 31m,Animation
11. Kung Fu Panda 4,6.3, (70K),1h 34m,Animation
12. The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Animation
13. Memoir of a Snail,7.8, (19K),1h 35m,Animation
14. The Garfield Movie,5.7, (25K),1h 41m,Animation
15. Attack on Titan the Movie: The Last Attack,9.2, (18K),2h 25m,Animation
16. Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Animation
17. Piece by Piece,6.9, (6.1K),1h 33m,Animation
18. Spellbound,5.5, (7.9K),1h 49m,Animation
19. Wallace & Gromit: Vengeance Most Fowl,7.5, (36K),1h 22m,Animation
20. Spermageddon,5.6, (1.1K),1h 20m,Animation
21. Look Back,7.8, (16K),58m,Animation
22. The Remarkable Life of Ibelin,8.2, (13K),1h 43m,Animation
23. Harold and the Purple Crayon,5.7, (8.8K),1h 30m,Animation
24. I Am What I Am 2,7.5, (374),2h 14m,Animation
25. Orion and the Dark,6.3, (18K),1h 33m,Animation
26. Watchmen: Chapter I,7.1, (7K),1h 23m,Animation
27. Dragonkeeper,5.7, (1.8K),1h 38m,Animation
28. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Animation
29. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Animation
30. Dan Da Dan: First Encounter,8.2, (3K),1h 23m,Animation
31. Crayon Shin-chan: Our Dinosaur Diary,6.6, (610),1h 46m,Animation
32. Thelma the Unicorn,5.7, (3K),1h 33m,Animation
33. Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,Animation
34. Night of the Zoopocalypse,6.1, (927),1h 31m,Animation
35. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Animation
36. Haikyu!! The Dumpster Battle,7.7, (6.6K),1h 25m,Animation
37. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,Animation
38. White Snake: Afloat,6.9, (570),2h 13m,Animation
39. That Christmas,6.8, (17K),1h 31m,Animation
40. Ultraman: Rising,6.9, (6.6K),1h 57m,Animation
41. The Most Precious of Cargoes,7.1, (1.5K),1h 21m,Animation
