Title,Rating,Votes,Duration,Genre
1. The Life of Chuck,7.7, (6.7K),1h 51m,Fantasy
2. Nosferatu,7.2, (210K),2h 12m,Fantasy
3. Wicked,7.4, (169K),2h 40m,Fantasy
4. Sonic the Hedgehog 3,6.9, (65K),1h 50m,Fantasy
5. Flow,7.9, (84K),1h 25m,Fantasy
6. Parthenope,6.6, (14K),2h 17m,Fantasy
7. Beetlejuice Beetlejuice,6.6, (155K),1h 45m,Fantasy
8. Moana 2,6.5, (109K),1h 40m,Fantasy
9. Better Man,7.6, (32K),2h 15m,Fantasy
10. Inside Out 2,7.5, (223K),1h 36m,Fantasy
11. Ghostbusters: Frozen Empire,6.1, (96K),1h 55m,Fantasy
12. Damsel,6.1, (111K),1h 50m,Fantasy
13. Megalopolis,4.7, (37K),2h 18m,Fantasy
14. Transformers One,7.6, (54K),1h 44m,Fantasy
15. IF,6.4, (60K),1h 44m,Fantasy
16. Monster Summer,5.7, (4.2K),1h 37m,Fantasy
17. The Crow,4.7, (37K),1h 51m,Fantasy
18. Godzilla x Kong: The New Empire,6.0, (124K),1h 55m,Fantasy
19. Red One,6.3, (142K),2h 3m,Fantasy
20. The Watchers,5.7, (59K),1h 42m,Fantasy
21. Kung Fu Panda 4,6.3, (70K),1h 34m,Fantasy
22. The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Fantasy
23. The Wonderful Story of Henry Sugar and Three More,7.1, (8.2K),1h 28m,Fantasy
24. Uglies,4.7, (34K),1h 40m,Fantasy
25. The Garfield Movie,5.7, (25K),1h 41m,Fantasy
26. Kalki 2898 AD,7.0, (68K),3h,Fantasy
27. Cells at Work!,6.7, (849),1h 49m,Fantasy
28. Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Fantasy
29. Spellbound,5.5, (7.9K),1h 49m,Fantasy
30. The Master and Margarita,7.2, (5K),2h 36m,Fantasy
31. Sketch,8.2, (71),1h 32m,Fantasy
32. Rebel Moon - Part Two: The Scargiver,5.3, (60K),2h 2m,Fantasy
33. The End,5.5, (2.3K),2h 28m,Fantasy
34. Descendants: The Rise of Red,4.7, (7.3K),1h 31m,Fantasy
35. Harold and the Purple Crayon,5.7, (8.8K),1h 30m,Fantasy
36. Dear Santa,5.4, (19K),1h 47m,Fantasy
37. Family Pack,5.5, (9.6K),1h 34m,Fantasy
38. The Tearsmith,5.2, (13K),1h 43m,Fantasy
39. Orion and the Dark,6.3, (18K),1h 33m,Fantasy
40. Girl Haunts Boy,6.3, (3.4K),1h 40m,Fantasy
41. Dragonkeeper,5.7, (1.8K),1h 38m,Fantasy
42. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Fantasy
43. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Fantasy
44. Irish Wish,5.2, (22K),1h 33m,Fantasy
45. Dan Da Dan: First Encounter,8.2, (3K),1h 23m,Fantasy
46. Bhool Bhulaiyaa 3,4.6, (78K),2h 38m,Fantasy
47. Thelma the Unicorn,5.7, (3K),1h 33m,Fantasy
48. Night of the Zoopocalypse,6.1, (928),1h 31m,Fantasy
49. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Fantasy
50. The Balconettes,5.8, (1.4K),1h 44m,Fantasy
51. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,Fantasy
52. Wynonna Earp: Vengeance,5.5, (1.7K),1h 36m,Fantasy
53. White Snake: Afloat,6.9, (570),2h 13m,Fantasy
54. That Christmas,6.8, (17K),1h 31m,Fantasy
55. Ultraman: Rising,6.9, (6.6K),1h 57m,Fantasy
56. Pedro Páramo,6.3, (3.1K),2h 10m,Fantasy
57. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Fantasy
58. Hot Frosty,5.3, (15K),1h 32m,Fantasy
59. The Invisibles,5.8, (572),1h 51m,Fantasy
60. Happyend,6.9, (849),1h 53m,Fantasy
61. Timestalker,5.5, (3.1K),1h 29m,Fantasy
62. Thangalaan,6.5, (6.8K),2h 36m,Fantasy
63. Hagen,6.0, (1.4K),2h 19m,Fantasy
64. Unspeakable: Beyond the Wall of Sleep,4.8, (118),1h 30m,Fantasy
65. Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Fantasy
66. Tim Travers & the Time Travelers Paradox,6.8, (321),1h 35m,Fantasy
67. Soul Reaper,5.7, (328),1h 52m,Fantasy
68. 10 Lives,5.9, (2.1K),1h 28m,Fantasy
69. Kanguva,4.5, (15K),2h 32m,Fantasy
70. The Thundermans Return,5.0, (1.9K),1h 10m,Fantasy
71. Went Up the Hill,6.6, (87),1h 40m,Fantasy
72. Devil's Knight,5.3, (963),1h 30m,Fantasy
73. Woodwalkers,5.3, (526),1h 43m,Fantasy
74. Robin and the Hoods,4.3, (540),1h 40m,Fantasy
75. The Best Christmas Pageant Ever,6.8, (6.3K),1h 39m,Fantasy
76. Hanu Man,7.7, (29K),2h 38m,Fantasy
77. Mars,8.1, (26),1h 24m,Fantasy
78. Bodegón con fantasmas,6.6, (242),1h 28m,Fantasy
79. Else,6.0, (276),1h 42m,Fantasy
80. The Tiger's Apprentice,5.8, (2.3K),1h 24m,Fantasy
81. A Fisherman's Tale,6.0, (145),1h 43m,Fantasy
82. Dr. Sander's Sleep Cure,6.5, (1K),1h 42m,Fantasy
83. Lesbian Space Princess,7.2, (184),1h 27m,Fantasy
84. Mononoke the Movie: The Phantom in the Rain,6.7, (1.4K),1h 29m,Fantasy
85. Empire Queen: The Golden Age of Magic,3.2, (240),2h 28m,Fantasy
86. A.R.M,7.1, (8.9K),2h 30m,Fantasy
87. The American Society of Magical Negroes,3.8, (12K),1h 44m,Fantasy
88. Noaptea lui Vlad,7.2, (66),1h 30m,Fantasy
89. Super-Charlie,5.8, (165),1h 20m,Fantasy
90. A Dog's Will 2,6.2, (3.2K),1h 44m,Fantasy
91. Angels Fallen: Warriors of Peace,4.9, (6.4K),1h 43m,Fantasy
92. Buffalo Kids,6.6, (772),1h 33m,Fantasy
93. Big City Greens the Movie: Spacecation,6.2, (584),1h 23m,Fantasy
94. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4K),1h 22m,Fantasy
95. Fluxx,6.0, (124),1h 40m,Fantasy
96. Alienoid: The Return to the Future,6.5, (2.7K),2h 2m,Fantasy
97. The Night Before Christmas in Wonderland,6.3, (526),1h 20m,Fantasy
98. This Is Me... Now,4.1, (7.2K),1h 5m,Fantasy
99. 200% Wolf,5.9, (1.3K),1h 38m,Fantasy
100. Panda Bear in Africa,5.5, (379),1h 24m,Fantasy
101. Una ballena,5.6, (162),1h 48m,Fantasy
102. Balestra,5.1, (544),2h 25m,Fantasy
