Title,Rating,Votes,Duration,Genre
1. Anora,7.5, (204K),2h 19m,Romance
2. Mon Potongo,5.4, (542),2h 29m,Romance
3. Wicked,7.4, (169K),2h 40m,Romance
4. Babygirl,5.8, (64K),1h 54m,Romance
5. The Fall Guy,6.8, (227K),2h 6m,Romance
6. The Count of Monte-Cristo,7.6, (37K),2h 58m,Romance
7. We Live in Time,7.0, (56K),1h 48m,Romance
8. Challengers,7.0, (159K),2h 11m,Romance
9. It Ends with Us,6.3, (89K),2h 10m,Romance
10. My Old Ass,6.9, (42K),1h 29m,Romance
11. Bonjour Tristesse,6.0, (418),1h 50m,Romance
12. The Idea of You,6.3, (75K),1h 55m,Romance
13. Queer,6.4, (24K),2h 17m,Romance
14. Love Me,5.1, (2.9K),1h 31m,Romance
15. Fly Me to the Moon,6.6, (52K),2h 12m,Romance
16. On Swift Horses,6.0, (2.4K),1h 59m,Romance
17. Ask Me What You Want,3.9, (1.2K),1h 54m,Romance
18. Love Lies Bleeding,6.6, (59K),1h 44m,Romance
19. The Crow,4.7, (37K),1h 51m,Romance
20. A Nice Indian Boy,7.4, (2.2K),1h 36m,Romance
21. Young Hearts,7.9, (5.7K),1h 39m,Romance
22. A Family Affair,5.4, (37K),1h 51m,Romance
23. Turtles All the Way Down,6.6, (7.5K),1h 51m,Romance
24. All We Imagine as Light,7.1, (11K),1h 58m,Romance
25. Winter Spring Summer or Fall,6.0, (3K),1h 37m,Romance
26. Jane Austen Wrecked My Life,6.5, (781),1h 38m,Romance
27. Spaceman,5.7, (44K),1h 47m,Romance
28. Culpa Tuya,5.2, (14K),1h 58m,Romance
29. Upgraded,6.1, (30K),1h 44m,Romance
30. Emmanuelle,4.1, (1.9K),1h 47m,Romance
31. Lonely Planet,5.7, (12K),1h 34m,Romance
32. Young Woman and the Sea,7.5, (18K),2h 9m,Romance
33. Someone Like You,5.9, (2.3K),1h 58m,Romance
34. Mother of the Bride,4.8, (17K),1h 28m,Romance
35. Beating Hearts,7.0, (6K),2h 46m,Romance
36. Loveable,7.7, (2.5K),1h 41m,Romance
37. The Master and Margarita,7.2, (5K),2h 36m,Romance
38. Die Alone,5.8, (3.9K),1h 30m,Romance
39. Lisa Frankenstein,6.1, (29K),1h 41m,Romance
40. Dreams (Sex Love),7.6, (753),1h 50m,Romance
41. La cocina,7.1, (3.7K),2h 19m,Romance
42. Lick,6.2, (979),1h 15m,Romance
43. Sidelined: The QB and Me,5.8, (4.1K),1h 39m,Romance
44. Your Monster,6.4, (6.3K),1h 43m,Romance
45. Killer Heat,5.6, (14K),1h 35m,Romance
46. F*** Marry Kill,5.3, (2.8K),1h 37m,Romance
47. Lilies Not for Me,7.1, (671),1h 39m,Romance
48. The Greatest Hits,6.2, (7.7K),1h 34m,Romance
49. Girls Will Be Girls,7.1, (2.8K),1h 58m,Romance
50. My Favourite Cake,7.4, (7.7K),1h 37m,Romance
51. Before We Forget,7.5, (140),1h 48m,Romance
52. Our Little Secret,5.7, (24K),1h 41m,Romance
53. Premalu,7.8, (20K),2h 36m,Romance
54. Find Me Falling,6.3, (13K),1h 33m,Romance
55. The Tearsmith,5.2, (13K),1h 43m,Romance
56. Sex,6.6, (1.5K),1h 58m,Romance
57. Sunlight,7.6, (32),1h 36m,Romance
58. Girl Haunts Boy,6.3, (3.4K),1h 40m,Romance
59. Touch,7.4, (5.9K),2h 1m,Romance
60. Love,7.3, (540),1h 59m,Romance
61. Rasavathi,6.4, (588),2h 28m,Romance
62. Irish Wish,5.2, (22K),1h 33m,Romance
63. Dan Da Dan: First Encounter,8.2, (3K),1h 23m,Romance
64. Love Across Time,7.1, (779),1h,Romance
65. Beautiful Wedding,4.1, (4.4K),1h 40m,Romance
66. Players,5.7, (12K),1h 45m,Romance
67. Daniela Forever,6.1, (246),1h 53m,Romance
68. The Merry Gentlemen,4.8, (10K),1h 27m,Romance
69. Grafted,5.6, (2.6K),1h 36m,Romance
70. High Tide,6.6, (692),1h 41m,Romance
71. Love in the Big City,7.4, (1.7K),1h 58m,Romance
72. 5lbs of Pressure,5.2, (1.7K),1h 51m,Romance
73. The Family Star,5.4, (5.6K),2h 39m,Romance
74. Super Happy Forever,6.9, (230),1h 34m,Romance
75. Through My Window: Looking at You,5.4, (5.5K),1h 45m,Romance
76. Chosen Family,4.7, (509),1h 28m,Romance
77. White Snake: Afloat,6.9, (570),2h 13m,Romance
78. Role Play,5.5, (19K),1h 40m,Romance
79. Addition,8.3, (32),1h 31m,Romance
80. The Swedish Torpedo,6.0, (247),2h,Romance
81. Eks,4.5, (210),2h 1m,Romance
82. The Astronaut Lovers,7.1, (943),1h 56m,Romance
83. Boot Camp,5.8, (1.2K),1h 34m,Romance
84. Marmalade,6.3, (3.8K),1h 39m,Romance
85. How to Date Billy Walsh,5.2, (4K),1h 38m,Romance
86. Hear Me: Our Summer,7.5, (921),1h 49m,Romance
87. Wanted: Girlfriend,4.2, (237),49m,Romance
88. 18×2 Beyond Youthful Days,7.3, (2K),2h 3m,Romance
89. Pedro Páramo,6.3, (3.1K),2h 10m,Romance
90. You Are the Apple of My Eye,6.9, (3.7K),1h 41m,Romance
91. Vulgar,5.4, (186),1h 43m,Romance
92. Hot Frosty,5.3, (15K),1h 32m,Romance
93. Grand Tour,6.5, (2.1K),2h 9m,Romance
94. Timestalker,5.5, (3.1K),1h 29m,Romance
95. Romance on the Ranch,6.8, (403),1h 28m,Romance
96. Teri Baaton Mein Aisa Uljha Jiya,6.2, (54K),2h 21m,Romance
97. Wallbanger,5.6, (725),1h 58m,Romance
98. Private Tutor,4.9, (221),1h 5m,Romance
99. Chanchal Haseena,7.5, (38),1h 38m,Romance
100. Uranus 2324,6.4, (4.9K),2h 10m,Romance
101. Mor Chhainha Bhuinya 2,7.4, (126),2h 40m,Romance
102. Silent Love,6.4, (427),1h 56m,Romance
103. Love Story,5.5, (441),2h 5m,Romance
104. Three Friends,6.6, (837),1h 57m,Romance
105. Qalb,6.5, (2.4K),2h 27m,Romance
106. Amar Singh Chamkila,7.8, (16K),2h 25m,Romance
107. 3391 Kilometres,4.3, (1.2K),1h 50m,Romance
108. This Time Next Year,5.6, (2.4K),1h 56m,Romance
109. A True Gentleman,4.5, (2.3K),1h 50m,Romance
110. The Dead Thing,4.8, (1K),1h 34m,Romance
111. Ajosepo,8.9, (69),2h 14m,Romance
112. Lyubvi ne byvaet?,5.4, (166),1h 45m,Romance
113. Siddharth Roy,6.3, (2.9K),2h 28m,Romance
114. Art of Love,4.6, (2.5K),1h 39m,Romance
115. O Melhor Amigo,6.5, (125),1h 36m,Romance
116. Went Up the Hill,6.6, (87),1h 40m,Romance
117. Black Tea,5.2, (602),1h 50m,Romance
118. Another End,6.4, (833),1h 59m,Romance
119. Detective Conan: The Million-Dollar Pentagram,6.7, (1.6K),1h 51m,Romance
120. Bachhala Malli,8.2, (3.9K),2h 20m,Romance
121. Take My Hand,6.3, (337),1h 42m,Romance
122. Two to One,6.1, (833),1h 56m,Romance
123. Young Werther,5.6, (276),1h 41m,Romance
124. Layla,6.1, (459),1h 40m,Romance
125. My Ex's Wedding,8.8, (55),1h 35m,Romance
126. The Best Christmas Pageant Ever,6.8, (6.3K),1h 39m,Romance
127. First Taste,5.7, (319),1h 37m,Romance
128. The Southern Chronicles,8.7, (2.9K),2h,Romance
129. Drawing Closer,7.6, (2.8K),1h 58m,Romance
130. Bad Newz,4.7, (26K),2h 22m,Romance
131. Mascarpone: The Rainbow Cake,6.1, (538),1h 45m,Romance
132. Else,6.0, (276),1h 42m,Romance
133. The Air He Breathes,6.5, (422),1h 46m,Romance
134. Freedom,5.9, (1.4K),1h 50m,Romance
135. Lesbian Space Princess,7.2, (184),1h 27m,Romance
136. Passport to Love,6.2, (426),1h 28m,Romance
137. Angithee 3,8.1, (64),1h 39m,Romance
138. Turn Me On,5.6, (657),1h 39m,Romance
139. Haunted Heart,4.8, (512),2h 8m,Romance
140. Her Seyin Basi Merkür,3.3, (431),1h 45m,Romance
141. Gelin Takimi,3.9, (5.9K),1h 49m,Romance
142. Badaa Saat Fi Yawman Ma,5.8, (303),1h 40m,Romance
143. City Hunter,6.3, (5.7K),1h 42m,Romance
144. 0000 Kilometre,2.7, (267),1h 50m,Romance
145. Ek Anjaan Rishtey Ka Guilt 3,8.0, (70),1h 44m,Romance
146. Savi,6.1, (35K),2h 6m,Romance
147. Intoxicated by Love,8.5, (14K),1h 58m,Romance
148. Ashes,4.3, (2.7K),1h 40m,Romance
149. Phir Aayi Hasseen Dillruba,5.8, (7K),2h 12m,Romance
150. Kacher Manush Dure Thuiya,7.8, (1.2K),2h 24m,Romance
151. Honey Money Phony,6.2, (218),1h 55m,Romance
152. Darkest Miriam,5.8, (318),1h 27m,Romance
153. ¿Quién quiere casarse con un Astronauta?,7.2, (18),1h 34m,Romance
154. Sihina Nelum Mal,8.0, (35),1h 45m,Romance
"155. Love, Sitara",5.3, (307),1h 45m,Romance
157. Perfect Endings,5.5, (225),1h 40m,Romance
158. This Is Me... Now,4.1, (7.2K),1h 5m,Romance
160. Given 3: To the Sea,7.6, (129),1h 20m,Romance
161. Krista,5.6, (59),58m,Romance
"162. Hello, Love, Again",6.7, (941),2h 2m,Romance
