Title,Rating,Votes,Duration,Genre
1. Heretic,7.0, (162K),1h 51m,Thriller
2. The Surfer,6.1, (9.1K),1h 40m,Thriller
3. Conclave,7.4, (203K),2h,Thriller
4. Babygirl,5.8, (64K),1h 54m,Thriller
5. Presence,6.1, (29K),1h 24m,Thriller
6. Twisters,6.5, (176K),2h 2m,Thriller
7. Joker: Folie à Deux,5.2, (166K),2h 18m,Thriller
8. Kraven the Hunter,5.5, (63K),2h 7m,Thriller
9. Speak No Evil,6.8, (110K),1h 50m,Thriller
10. The Beekeeper,6.3, (162K),1h 45m,Thriller
11. Venom: The Last Dance,6.0, (130K),1h 50m,Thriller
12. Civil War,7.0, (244K),1h 49m,Thriller
13. Alien: Romulus,7.1, (254K),1h 59m,Thriller
14. The Order,6.8, (50K),1h 56m,Thriller
15. Longlegs,6.6, (193K),1h 41m,Thriller
16. Carry-On,6.5, (172K),1h 59m,Thriller
17. Juror #2,7.0, (105K),1h 54m,Thriller
18. The Shrouds,5.8, (3.7K),2h,Thriller
19. Wolfs,6.5, (88K),1h 48m,Thriller
20. Land of Bad,6.6, (53K),1h 53m,Thriller
21. Blink Twice,6.5, (111K),1h 42m,Thriller
22. Trap,5.8, (145K),1h 45m,Thriller
23. Smile 2,6.7, (114K),2h 7m,Thriller
24. The Count of Monte-Cristo,7.6, (37K),2h 58m,Thriller
25. Rebel Ridge,6.8, (91K),2h 11m,Thriller
26. Road House,6.2, (171K),2h 1m,Thriller
27. Eden,6.6, (1.6K),2h,Thriller
28. Abigail,6.5, (100K),1h 49m,Thriller
29. Madame Web,4.1, (104K),1h 56m,Thriller
30. 1978,5.2, (477),1h 16m,Thriller
31. Dirty Angels,4.4, (4.1K),1h 44m,Thriller
32. Caddo Lake,6.8, (45K),1h 43m,Thriller
33. The Luckiest Man in America,6.2, (3.6K),1h 31m,Thriller
34. Absolution,5.2, (9K),1h 52m,Thriller
35. Subservience,5.4, (30K),1h 46m,Thriller
36. Borderlands,4.7, (51K),1h 41m,Thriller
37. Oddity,6.7, (46K),1h 38m,Thriller
38. A Quiet Place: Day One,6.3, (155K),1h 39m,Thriller
39. September 5,7.1, (27K),1h 35m,Thriller
40. Argylle,5.6, (94K),2h 19m,Thriller
41. Skincare,5.7, (4.8K),1h 36m,Thriller
42. Bad Boys: Ride or Die,6.5, (103K),1h 55m,Thriller
43. The Union,5.4, (54K),1h 47m,Thriller
44. The Seed of the Sacred Fig,7.6, (16K),2h 47m,Thriller
45. Kingdom of the Planet of the Apes,6.8, (155K),2h 25m,Thriller
46. Ask Me What You Want,3.9, (1.2K),1h 54m,Thriller
47. Drive-Away Dolls,5.4, (24K),1h 24m,Thriller
48. Love Lies Bleeding,6.6, (59K),1h 44m,Thriller
49. Salem's Lot,5.6, (35K),1h 54m,Thriller
50. Out Come the Wolves,4.7, (1.7K),1h 26m,Thriller
51. Sleeping Dogs,6.2, (22K),1h 50m,Thriller
52. Don't Move,5.8, (41K),1h 32m,Thriller
53. 40 Acres,6.8, (381),1h 53m,Thriller
54. Cuckoo,5.7, (29K),1h 42m,Thriller
55. Lucky Baskhar,8.0, (34K),2h 28m,Thriller
56. A Different Man,6.9, (32K),1h 52m,Thriller
57. Mothers' Instinct,6.3, (21K),1h 34m,Thriller
58. Maharaja,8.4, (70K),2h 21m,Thriller
59. The Crow,4.7, (37K),1h 51m,Thriller
60. Time Cut,5.0, (20K),1h 31m,Thriller
61. Monkey Man,6.8, (94K),2h 1m,Thriller
62. It's What's Inside,6.6, (44K),1h 43m,Thriller
63. Godzilla x Kong: The New Empire,6.0, (124K),1h 55m,Thriller
64. Survive,4.6, (3.1K),1h 30m,Thriller
65. Inside,6.9, (321),1h 44m,Thriller
